user_id,seq,type_seq
29057,"[431, 148, 288, 77, 18, 159, 195, 403, 286, 263, 292, 109, 151, 106, 349, 353, 395, 318, 223, 141]","[1, 5, 1, 1, 7, 5, 9, 15, 18, 19, 5, 2, 17, 5, 13, 10, 13, 21, 1, 10]"
22486,"[943, 942, 733, 944, 873]","[13, 13, 13, 13, 13]"
29428,"[24, 138, 56, 16]","[7, 7, 7, 9]"
36336,"[18, 20, 175, 42]","[7, 7, 7, 7]"
582,"[55, 45, 240, 412]","[7, 1, 13, 13]"
910,"[283, 18, 120, 306, 14, 330, 66, 138, 258]","[7, 7, 9, 12, 8, 7, 12, 7, 9]"
22514,"[942, 733, 943, 944, 873]","[13, 13, 13, 13, 13]"
69276,"[11, 18, 74, 71, 269, 175, 31, 138, 19, 230, 55]","[7, 7, 11, 11, 7, 7, 7, 7, 7, 6, 7]"
44787,"[22, 15, 50, 354, 278, 189, 185, 243, 55]","[11, 7, 7, 12, 1, 5, 10, 10, 7]"
8044,"[18, 12, 626, 31, 112, 244, 241]","[7, 7, 5, 7, 9, 9, 7]"
73155,"[19, 18, 272, 20, 15]","[7, 7, 7, 7, 7]"
70864,"[246, 13, 278, 119, 172]","[8, 8, 1, 8, 8]"
37998,"[138, 98, 12, 132]","[7, 7, 7, 7]"
44676,"[207, 543, 171, 361]","[5, 1, 17, 5]"
77119,"[79, 68, 5, 201]","[1, 5, 1, 1]"
30313,"[258, 123, 30, 186]","[9, 12, 12, 11]"
46699,"[207, 572, 543, 361]","[5, 5, 1, 5]"
33836,"[640, 30, 120, 12, 31]","[5, 12, 9, 7, 7]"
44230,"[19, 55, 18, 115]","[7, 7, 7, 9]"
20093,"[950, 942, 733, 943, 944, 873]","[13, 13, 13, 13, 13, 13]"
734,"[2, 431, 365, 339]","[2, 1, 3, 3]"
21658,"[733, 942, 943, 950, 873, 944]","[13, 13, 13, 13, 13, 13]"
50079,"[117, 220, 572, 240]","[5, 4, 5, 13]"
57582,"[18, 269, 99, 20]","[7, 7, 7, 7]"
35086,"[13, 826, 950, 733, 942, 873, 943, 944, 793, 948, 947, 949]","[8, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13]"
47753,"[543, 361, 207, 171]","[1, 5, 5, 17]"
51235,"[204, 163, 187, 307, 164]","[9, 9, 9, 9, 20]"
81375,"[443, 207, 231, 243, 505]","[18, 5, 5, 10, 5]"
4401,"[171, 136, 445, 63, 21]","[17, 17, 10, 9, 11]"
5768,"[5, 286, 284, 52, 192, 58, 390, 349, 45, 395, 581, 321]","[1, 18, 18, 10, 10, 2, 17, 13, 1, 13, 1, 13]"
57550,"[223, 77, 301, 222]","[1, 1, 9, 19]"
51773,"[315, 44, 230, 74, 358, 532, 2, 516, 65, 330]","[9, 9, 6, 11, 6, 9, 2, 2, 9, 7]"
33453,"[123, 30, 179, 114, 741, 84, 138, 439, 8, 54, 580]","[12, 12, 7, 18, 5, 5, 7, 18, 5, 7, 15]"
37360,"[143, 198, 122, 34]","[15, 17, 11, 1]"
8327,"[272, 18, 47, 434, 493]","[7, 7, 7, 6, 7]"
74225,"[122, 13, 14, 12, 521]","[11, 8, 8, 7, 11]"
26144,"[5, 88, 79, 13]","[1, 16, 1, 8]"
45982,"[19, 98, 176, 27, 385, 18]","[7, 7, 7, 7, 7, 7]"
29887,"[63, 123, 270, 127]","[9, 12, 5, 4]"
67145,"[5, 13, 18, 632, 22]","[1, 8, 7, 1, 11]"
51376,"[172, 109, 45, 57]","[8, 2, 1, 5]"
72323,"[18, 19, 13, 50, 270, 92, 15]","[7, 7, 8, 7, 5, 15, 7]"
39820,"[43, 15, 12, 24, 99, 179, 14]","[7, 7, 7, 7, 7, 7, 8]"
20721,"[793, 948, 947, 949, 873, 942, 733, 943, 944]","[13, 13, 13, 13, 13, 13, 13, 13, 13]"
16158,"[14, 46, 28, 43, 535, 66, 55, 215, 491]","[8, 15, 7, 7, 7, 12, 7, 12, 12]"
4761,"[119, 118, 261, 5, 57]","[8, 14, 5, 1, 5]"
30217,"[151, 429, 90, 261]","[17, 7, 9, 5]"
66491,"[38, 12, 36, 19, 15, 28, 18, 121, 329]","[9, 7, 11, 7, 7, 7, 7, 9, 6]"
68917,"[449, 20, 15, 12]","[7, 7, 7, 7]"
23976,"[12, 18, 113, 19, 33]","[7, 7, 12, 7, 6]"
78917,"[141, 379, 516, 442, 207, 106, 1217]","[10, 10, 2, 18, 5, 5, 4]"
67074,"[47, 42, 233, 18]","[7, 7, 7, 7]"
48447,"[207, 240, 220, 361]","[5, 13, 4, 5]"
48170,"[120, 236, 230, 15, 22, 583, 44, 130, 150]","[9, 6, 6, 7, 11, 6, 9, 11, 6]"
35453,"[950, 942, 733, 943, 944, 873]","[13, 13, 13, 13, 13, 13]"
4924,"[314, 49, 111, 315, 146, 29, 41, 65]","[9, 9, 9, 9, 15, 12, 12, 9]"
75902,"[283, 23, 122, 15, 176, 138, 24, 16]","[7, 7, 11, 7, 7, 7, 7, 9]"
24120,"[942, 733, 943, 944, 873]","[13, 13, 13, 13, 13]"
1186,"[46, 47, 138, 55]","[15, 7, 7, 7]"
28370,"[18, 20, 24, 16, 11]","[7, 7, 7, 9, 7]"
7903,"[369, 458, 459, 315, 371, 77, 196, 85, 301, 30, 5, 268, 292, 317, 323, 228, 441, 223, 7, 141, 280, 685]","[13, 15, 13, 9, 5, 1, 9, 4, 9, 12, 1, 9, 5, 4, 4, 5, 13, 1, 5, 10, 10, 19]"
5108,"[12, 50, 138, 19, 43, 18, 23, 149, 55]","[7, 7, 7, 7, 7, 7, 7, 7, 7]"
36278,"[132, 137, 150, 19, 358, 36, 121, 15, 35, 31, 259, 33, 98, 99, 74, 433, 175, 398, 269, 55, 53, 43, 110, 529, 205]","[7, 7, 6, 7, 6, 11, 9, 7, 12, 7, 6, 6, 7, 7, 11, 16, 7, 14, 7, 7, 7, 7, 12, 12, 3]"
36553,"[46, 30, 150, 66]","[15, 12, 6, 12]"
3647,"[732, 123, 185, 342]","[19, 12, 10, 10]"
34062,"[640, 150, 230, 148, 33, 10, 44, 5, 23, 139, 65, 358, 21, 236, 88, 439, 8, 505]","[5, 6, 6, 5, 6, 6, 9, 1, 7, 15, 9, 6, 11, 6, 16, 18, 5, 5]"
943,"[113, 28, 175, 110]","[12, 7, 7, 12]"
4342,"[207, 414, 392, 187, 196, 278, 96, 309, 307, 604, 8, 376, 7, 505, 439]","[5, 9, 10, 9, 9, 1, 5, 5, 9, 5, 5, 10, 5, 5, 18]"
32754,"[826, 950, 943, 733, 944, 873, 942, 949, 947, 793, 948]","[13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13]"
41782,"[73, 345, 214, 209]","[11, 9, 9, 20]"
8366,"[325, 4, 793, 873]","[4, 4, 13, 13]"
5285,"[86, 58, 106, 7, 57, 670]","[1, 2, 5, 5, 5, 7]"
5121,"[90, 2, 14, 405, 13, 447, 300, 292, 160, 308]","[9, 2, 8, 4, 8, 8, 1, 5, 4, 2]"
39356,"[181, 263, 14, 171, 151, 136, 194, 96, 198, 293, 278, 52, 119, 34, 394, 403, 88]","[13, 19, 8, 17, 17, 17, 17, 5, 17, 7, 1, 10, 8, 1, 15, 15, 16]"
65500,"[63, 232, 19, 123, 120, 315, 112, 258, 288, 189, 30, 449]","[9, 5, 7, 12, 9, 9, 9, 9, 1, 5, 12, 7]"
31362,"[733, 943, 944, 873, 942]","[13, 13, 13, 13, 13]"
48257,"[19, 47, 132, 137]","[7, 7, 7, 7]"
11133,"[22, 228, 301, 405]","[11, 5, 9, 4]"
37129,"[179, 84, 700, 559, 439]","[7, 5, 5, 3, 18]"
51505,"[4, 164, 171, 266]","[4, 20, 17, 4]"
48479,"[207, 27, 288, 361]","[5, 7, 1, 5]"
29907,"[23, 12, 37, 139, 76, 15, 26, 57, 359, 270, 118, 441, 30, 39, 50, 29, 230, 68, 215]","[7, 7, 12, 15, 3, 7, 7, 5, 5, 5, 14, 13, 12, 12, 7, 12, 6, 5, 12]"
35499,"[826, 950, 793, 947, 948, 949, 943, 944, 873, 942, 733]","[13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13]"
79952,"[245, 226, 7, 232, 316, 193, 114]","[8, 5, 5, 5, 3, 4, 18]"
72318,"[15, 293, 554, 55, 99, 16, 166, 35, 111]","[7, 7, 7, 7, 7, 9, 9, 12, 9]"
16172,"[939, 664, 938, 3]","[3, 3, 3, 3]"
31330,"[826, 950, 942, 733, 943, 944, 873, 793, 948, 947, 949]","[13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13]"
80952,"[12, 23, 283, 557]","[7, 7, 7, 6]"
21994,"[733, 942, 943, 944]","[13, 13, 13, 13]"
23534,"[793, 942, 877, 948, 820]","[13, 13, 13, 13, 13]"
1192,"[85, 123, 15, 110, 13]","[4, 12, 7, 12, 8]"
42383,"[358, 30, 24, 177, 71]","[6, 12, 7, 11, 11]"
45089,"[207, 543, 581, 361]","[5, 1, 1, 5]"
28315,"[271, 418, 230, 90, 15, 146, 358, 260, 177, 76, 10, 147, 18, 150]","[12, 9, 6, 9, 7, 15, 6, 9, 11, 3, 6, 5, 7, 6]"
64181,"[27, 43, 99, 12, 24, 19, 372]","[7, 7, 7, 7, 7, 7, 18]"
25359,"[943, 944, 873, 942, 733]","[13, 13, 13, 13, 13]"
53688,"[176, 18, 12, 132]","[7, 7, 7, 7]"
9177,"[206, 228, 226, 287, 211, 193, 171, 91, 14, 319]","[18, 5, 5, 4, 4, 4, 17, 13, 8, 10]"
1178,"[211, 573, 414, 200, 127, 292]","[4, 14, 9, 4, 4, 5]"
22035,"[236, 230, 44, 150, 122, 185]","[6, 6, 9, 6, 11, 10]"
76255,"[203, 314, 323, 57]","[4, 9, 4, 5]"
18347,"[942, 733, 873, 943, 944]","[13, 13, 13, 13, 13]"
18950,"[926, 237, 325, 207, 543, 590, 379, 519, 240, 220]","[19, 18, 4, 5, 1, 1, 10, 1, 13, 4]"
19319,"[942, 733, 873, 944, 943]","[13, 13, 13, 13, 13]"
40737,"[44, 43, 49, 138, 5]","[9, 7, 9, 7, 1]"
33962,"[640, 12, 47, 260, 329, 90, 118, 39, 23, 149, 45, 114, 439, 8]","[5, 7, 7, 9, 6, 9, 14, 12, 7, 7, 1, 18, 18, 5]"
34215,"[640, 118, 179, 31, 439]","[5, 14, 7, 7, 18]"
33106,"[24, 18, 230, 358, 132, 20, 19, 12, 37, 27, 30, 122, 546, 542, 173, 47]","[7, 7, 6, 6, 7, 7, 7, 7, 12, 7, 12, 11, 4, 7, 7, 7]"
8241,"[449, 12, 18, 138, 372]","[7, 7, 7, 7, 18]"
24020,"[942, 873, 950, 733, 943, 944]","[13, 13, 13, 13, 13, 13]"
45396,"[207, 92, 926, 140, 288, 572, 117, 361]","[5, 15, 19, 19, 1, 5, 5, 5]"
13566,"[189, 287, 55, 325]","[5, 4, 7, 4]"
59415,"[411, 18, 203, 20]","[2, 7, 4, 7]"
24049,"[258, 19, 98, 18]","[9, 7, 7, 7]"
65973,"[23, 138, 283, 348, 12, 534, 56, 542, 411]","[7, 7, 7, 7, 7, 7, 7, 7, 2]"
46495,"[207, 543, 1, 572, 117, 361]","[5, 1, 1, 5, 5, 5]"
18768,"[926, 379, 519, 590]","[19, 10, 1, 1]"
46289,"[13, 826, 950, 793, 947, 949, 948]","[8, 13, 13, 13, 13, 13, 13]"
22679,"[943, 942, 944, 733, 873]","[13, 13, 13, 13, 13]"
50810,"[207, 117, 572, 4, 361]","[5, 5, 5, 4, 5]"
58440,"[112, 5, 431, 301, 120, 440, 446, 79, 471]","[9, 1, 1, 9, 9, 9, 5, 1, 1]"
20782,"[171, 133, 138, 309]","[17, 7, 7, 5]"
35591,"[793, 325, 820, 948]","[13, 4, 13, 13]"
72635,"[287, 193, 469, 424]","[4, 4, 5, 4]"
8476,"[55, 38, 30, 13]","[7, 9, 12, 8]"
22372,"[944, 942, 733, 943, 873, 950]","[13, 13, 13, 13, 13, 13]"
56951,"[264, 22, 44, 434, 358]","[9, 11, 9, 6, 6]"
21961,"[944, 943, 942, 733, 873]","[13, 13, 13, 13, 13]"
11064,"[121, 16, 112, 5, 115, 178, 34]","[9, 9, 9, 1, 9, 12, 1]"
7477,"[24, 99, 19, 339, 94]","[7, 7, 7, 3, 3]"
54079,"[14, 7, 88, 360, 270, 91, 321]","[8, 5, 16, 16, 5, 13, 13]"
49429,"[5, 109, 77, 86, 2]","[1, 2, 1, 1, 2]"
46838,"[207, 572, 220, 117, 240, 361]","[5, 5, 4, 5, 13, 5]"
80113,"[150, 230, 358, 13, 172]","[6, 6, 6, 8, 8]"
47855,"[207, 240, 572, 220, 117]","[5, 13, 5, 4, 5]"
69411,"[280, 7, 292, 159]","[10, 5, 5, 5]"
10675,"[44, 33, 382, 49, 264, 177, 132, 244, 15, 174]","[9, 6, 9, 9, 9, 11, 7, 9, 7, 9]"
37833,"[18, 19, 15, 99]","[7, 7, 7, 7]"
26209,"[226, 151, 200, 181, 157, 183, 278, 387, 32, 118, 76, 140, 194, 86, 334, 374, 91, 364, 192, 206, 138, 283, 180, 52, 14, 211, 202, 12, 176, 203, 68, 96, 198, 199, 70, 136, 95, 25, 304, 28, 78, 339, 59, 284, 193, 88, 505, 424, 390]","[5, 17, 4, 13, 2, 10, 1, 9, 13, 14, 3, 19, 17, 1, 1, 13, 13, 17, 10, 18, 7, 7, 5, 10, 8, 4, 4, 7, 7, 4, 5, 5, 17, 1, 10, 17, 13, 7, 7, 7, 13, 3, 3, 18, 4, 16, 5, 4, 17]"
28508,"[5, 79, 317, 211, 94, 405]","[1, 1, 4, 4, 3, 4]"
54442,"[241, 448, 12, 18, 24, 31, 42, 22]","[7, 7, 7, 7, 7, 7, 7, 11]"
53065,"[91, 171, 70, 183, 261]","[13, 17, 10, 10, 5]"
8224,"[63, 447, 68, 12, 161, 33]","[9, 8, 5, 7, 8, 6]"
10921,"[532, 244, 122, 116]","[9, 9, 11, 7]"
8858,"[200, 287, 193, 206, 95, 374, 431]","[4, 4, 4, 18, 13, 13, 1]"
43743,"[207, 240, 220, 361]","[5, 13, 4, 5]"
13874,"[22, 94, 264, 296]","[11, 3, 9, 3]"
74034,"[176, 297, 5, 449, 18]","[7, 8, 1, 7, 7]"
21271,"[14, 151, 431, 206, 447, 285]","[8, 17, 1, 18, 8, 17]"
71891,"[90, 123, 127, 211]","[9, 12, 4, 4]"
58139,"[109, 90, 63, 384, 516, 70, 10, 198, 390, 364, 236, 96, 13]","[2, 9, 9, 20, 2, 10, 6, 17, 17, 17, 6, 5, 8]"
39179,"[120, 428, 349, 167, 306]","[9, 13, 13, 12, 12]"
26118,"[345, 214, 138, 18, 209]","[9, 9, 7, 7, 20]"
5561,"[5, 50, 28, 56, 156, 55, 15]","[1, 7, 7, 7, 1, 7, 7]"
40627,"[207, 27, 356, 361]","[5, 7, 7, 5]"
38127,"[231, 73, 22, 439]","[5, 11, 11, 18]"
58842,"[66, 150, 336, 215, 515, 230, 372, 358, 30, 449, 133, 123, 168]","[12, 6, 9, 12, 6, 6, 18, 6, 12, 7, 7, 12, 7]"
40837,"[168, 474, 258, 532, 531, 521]","[7, 9, 9, 9, 9, 11]"
17146,"[5, 96, 270, 372, 123]","[1, 5, 5, 18, 12]"
19616,"[230, 70, 290, 105, 16, 215]","[6, 10, 4, 5, 9, 12]"
30103,"[826, 950, 793, 948, 947, 949, 943, 944, 873, 942, 733]","[13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13]"
77728,"[927, 935, 268, 7]","[2, 19, 9, 5]"
7300,"[46, 143, 50, 37, 12, 43, 23, 15, 39, 35, 113, 29, 390, 142, 402, 109, 516, 110, 36, 529, 18, 270, 28, 268, 283, 348, 176, 157, 146, 304, 47, 388, 138, 234, 170, 149, 137, 175, 56, 51, 354, 14, 145, 55, 30, 70, 125, 280, 121, 579]","[15, 15, 7, 12, 7, 7, 7, 7, 12, 12, 12, 12, 17, 15, 15, 2, 2, 12, 11, 12, 7, 5, 7, 9, 7, 7, 7, 2, 15, 7, 7, 5, 7, 7, 7, 7, 7, 7, 7, 7, 12, 8, 7, 7, 12, 10, 12, 10, 9, 1]"
82365,"[13, 172, 188, 5]","[8, 8, 21, 1]"
59403,"[170, 268, 51, 53]","[7, 9, 7, 7]"
36762,"[91, 171, 22, 109, 13, 128, 223, 77]","[13, 17, 11, 2, 8, 1, 1, 1]"
81523,"[147, 138, 12, 15]","[5, 7, 7, 7]"
55508,"[315, 617, 127, 22]","[9, 11, 4, 11]"
54416,"[63, 87, 414, 44, 211]","[9, 9, 9, 9, 4]"
7544,"[33, 152, 47, 19, 98, 138, 55, 15, 28, 268, 43]","[6, 1, 7, 7, 7, 7, 7, 7, 7, 9, 7]"
63846,"[20, 230, 434, 283]","[7, 6, 6, 7]"
31529,"[826, 950, 948, 947, 793, 949, 873, 944, 942, 733, 943]","[13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13]"
17806,"[12, 50, 188, 283]","[7, 7, 21, 7]"
77718,"[141, 379, 207, 231]","[10, 10, 5, 5]"
78711,"[19, 7, 13, 348, 18]","[7, 5, 8, 7, 7]"
36997,"[123, 531, 15, 358, 18, 12, 270, 74, 532]","[12, 9, 7, 6, 7, 7, 5, 11, 9]"
34634,"[24, 15, 283, 18, 98, 131, 23, 47]","[7, 7, 7, 7, 7, 7, 7, 7]"
64280,"[336, 212, 50, 138]","[9, 6, 7, 7]"
62320,"[176, 13, 241, 225]","[7, 8, 7, 17]"
62459,"[231, 207, 141, 379]","[5, 5, 10, 10]"
70920,"[1200, 1202, 1201, 872]","[8, 6, 6, 6]"
51109,"[826, 950, 13, 943, 942, 793, 948, 947, 949, 733, 873, 944]","[13, 13, 8, 13, 13, 13, 13, 13, 13, 13, 13, 13]"
24130,"[942, 733, 943, 873, 944, 950]","[13, 13, 13, 13, 13, 13]"
65987,"[30, 12, 24, 98]","[12, 7, 7, 7]"
34279,"[147, 22, 5, 492, 439, 68, 73, 8, 122, 186]","[5, 11, 1, 11, 18, 5, 11, 5, 11, 11]"
74480,"[91, 747, 21, 207, 372]","[13, 8, 11, 5, 18]"
73990,"[31, 139, 15, 12, 19, 18, 50, 519, 20]","[7, 15, 7, 7, 7, 7, 7, 1, 7]"
20522,"[793, 949, 948, 947, 873, 944, 942, 943, 733]","[13, 13, 13, 13, 13, 13, 13, 13, 13]"
2927,"[288, 421, 90, 15, 47, 280, 113]","[1, 17, 9, 7, 7, 10, 12]"
59828,"[287, 264, 52, 86, 240, 185, 459, 221, 321]","[4, 9, 10, 1, 13, 10, 13, 1, 13]"
50843,"[207, 519, 361, 543, 581]","[5, 1, 5, 1, 1]"
72032,"[360, 88, 13, 22, 90]","[16, 16, 8, 11, 9]"
45404,"[211, 372, 237, 370, 228, 4, 185]","[4, 18, 18, 17, 5, 4, 10]"
37498,"[211, 244, 123, 258]","[4, 9, 12, 9]"
22423,"[944, 873, 942, 733, 943]","[13, 13, 13, 13, 13]"
78989,"[373, 45, 450, 523]","[20, 1, 9, 19]"
10693,"[640, 358, 49, 315]","[5, 6, 9, 9]"
44252,"[5, 270, 17, 7, 161, 277, 58]","[1, 5, 10, 5, 8, 18, 2]"
72029,"[163, 52, 141, 204, 187, 171, 4]","[9, 10, 10, 9, 9, 17, 4]"
70100,"[90, 28, 176, 240, 7, 309]","[9, 7, 7, 13, 5, 5]"
48997,"[151, 50, 26, 390]","[17, 7, 7, 17]"
64616,"[231, 13, 255, 316, 139, 27, 516, 5, 21, 138, 63, 120, 18, 49, 301, 243, 354, 68, 189, 7, 311]","[5, 8, 5, 3, 15, 7, 2, 1, 11, 7, 9, 9, 7, 9, 9, 10, 12, 5, 5, 5, 4]"
23490,"[518, 49, 270, 162, 158, 484, 5, 293, 466, 45, 325, 143, 46, 174, 22, 21]","[15, 9, 5, 3, 8, 9, 1, 7, 5, 1, 4, 15, 15, 9, 11, 11]"
26805,"[139, 143, 287, 196]","[15, 15, 4, 9]"
18444,"[926, 379, 240, 91]","[19, 10, 13, 13]"
81280,"[345, 45, 184, 79]","[9, 1, 18, 1]"
3118,"[45, 263, 32, 342, 172, 34, 109, 199, 68, 96, 226, 439, 372, 225, 371, 102, 301]","[1, 19, 13, 10, 8, 1, 2, 1, 5, 5, 5, 18, 18, 17, 5, 10, 9]"
18063,"[949, 947, 948, 793, 873, 944, 943, 733, 942]","[13, 13, 13, 13, 13, 13, 13, 13, 13]"
49101,"[27, 19, 5, 47]","[7, 7, 1, 7]"
44579,"[207, 240, 220, 361]","[5, 13, 4, 5]"
61108,"[1001, 632, 925, 45]","[5, 1, 1, 1]"
38039,"[76, 200, 192, 198, 15, 22, 96]","[3, 4, 10, 17, 7, 11, 5]"
44719,"[207, 240, 220, 572, 361, 117]","[5, 13, 4, 5, 5, 5]"
65767,"[405, 140, 109, 14, 334]","[4, 19, 2, 8, 1]"
31135,"[826, 950, 793, 949, 947, 948, 733, 942, 943, 873, 944]","[13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13]"
75977,"[14, 123, 44, 258, 65, 90, 71]","[8, 12, 9, 9, 9, 9, 11]"
19865,"[926, 123, 188, 40, 924]","[19, 12, 21, 14, 2]"
42092,"[206, 91, 264, 44, 7]","[18, 13, 9, 9, 5]"
10685,"[265, 44, 73, 358, 244]","[9, 9, 11, 6, 9]"
69691,"[153, 127, 193, 240]","[1, 4, 4, 13]"
66772,"[230, 139, 12, 149]","[6, 15, 7, 7]"
69354,"[133, 414, 88, 372, 441, 13, 172, 184, 433]","[7, 9, 16, 18, 13, 8, 8, 18, 16]"
48269,"[33, 44, 22, 150]","[6, 9, 11, 6]"
15826,"[19, 387, 31, 18, 12]","[7, 9, 7, 7, 7]"
75375,"[13, 176, 304, 139, 138]","[8, 7, 7, 15, 7]"
78974,"[42, 138, 18, 20]","[7, 7, 7, 7]"
58864,"[19, 98, 12, 18]","[7, 7, 7, 7]"
31172,"[329, 10, 434, 150, 130, 44, 15, 22, 33]","[6, 6, 6, 6, 11, 9, 7, 11, 6]"
528,"[441, 398, 118, 484, 147, 153, 146, 232, 5, 70, 428, 303, 433, 132, 21, 7, 88, 573]","[13, 14, 14, 9, 5, 1, 15, 5, 1, 10, 13, 16, 16, 7, 11, 5, 16, 14]"
48307,"[211, 151, 52, 70, 136, 203, 384, 364, 194, 119, 183, 180, 192, 316, 63, 85, 157, 374, 193, 95, 304, 14, 200, 140, 86, 197, 196, 334, 287, 270]","[4, 17, 10, 10, 17, 4, 20, 17, 17, 8, 10, 5, 10, 3, 9, 4, 2, 13, 4, 13, 7, 8, 4, 19, 1, 9, 9, 1, 4, 5]"
21086,"[793, 820, 877, 948]","[13, 13, 13, 13]"
41824,"[50, 170, 683, 211]","[7, 7, 14, 4]"
63489,"[55, 255, 156, 28, 348, 24, 147]","[7, 5, 1, 7, 7, 7, 5]"
19258,"[198, 118, 172, 307, 433, 159, 372, 18, 4, 15]","[17, 14, 8, 9, 16, 5, 18, 7, 4, 7]"
54058,"[349, 339, 78, 52]","[13, 3, 13, 10]"
25771,"[225, 270, 243, 106, 232, 171, 565, 400, 278, 614, 502]","[17, 5, 10, 5, 5, 17, 17, 15, 1, 5, 5]"
73087,"[617, 491, 133, 784]","[11, 12, 7, 11]"
38037,"[361, 443, 13, 109, 427, 185, 79, 19, 120, 141, 15, 102, 18, 12, 45, 372]","[5, 18, 8, 2, 17, 10, 1, 7, 9, 10, 7, 10, 7, 7, 1, 18]"
18471,"[18, 15, 19, 20]","[7, 7, 7, 7]"
74387,"[859, 871, 449, 758]","[9, 11, 7, 8]"
34892,"[12, 120, 44, 329]","[7, 9, 9, 6]"
72429,"[449, 23, 304, 42, 28, 18, 20, 138]","[7, 7, 7, 7, 7, 7, 7, 7]"
21637,"[793, 948, 947, 949, 733, 943, 873, 942, 944]","[13, 13, 13, 13, 13, 13, 13, 13, 13]"
55068,"[260, 259, 33, 65]","[9, 6, 6, 9]"
18626,"[12, 360, 172, 236, 230]","[7, 16, 8, 6, 6]"
37286,"[176, 109, 5, 399, 12, 159]","[7, 2, 1, 13, 7, 5]"
889,"[91, 316, 2, 226, 449, 9, 3, 198, 26, 47, 18, 228, 605, 315, 109, 123, 225, 445, 188, 606, 43, 50, 416, 93, 195, 76, 68, 475, 607]","[13, 3, 2, 5, 7, 3, 3, 17, 7, 7, 7, 5, 3, 9, 2, 12, 17, 10, 21, 3, 7, 7, 20, 3, 9, 3, 5, 2, 2]"
20758,"[793, 948, 949, 947, 942, 943, 944, 873, 733]","[13, 13, 13, 13, 13, 13, 13, 13, 13]"
17330,"[949, 793, 948, 947, 733, 942, 943, 944, 873]","[13, 13, 13, 13, 13, 13, 13, 13, 13]"
40020,"[46, 19, 42, 50]","[15, 7, 7, 7]"
16442,"[263, 123, 406, 153, 79, 133, 557, 140]","[19, 12, 18, 1, 1, 7, 6, 19]"
